fecha	hora	precio_md
2015-01-10	3	43.05
2015-01-10	4	43
2015-01-10	5	43.83
2015-01-10	6	45
2015-01-10	7	47.43
2015-01-10	8	54.12
2015-01-10	9	60.69
2015-01-10	10	64.82
2015-01-10	11	67.69
2015-01-10	12	66.2
2015-01-10	13	65.01
2015-01-10	14	64.82
2015-01-10	15	62.43
2015-01-10	16	58.58
2015-01-10	17	58.34
2015-01-10	18	61.69
2015-01-10	19	63.89
2015-01-10	20	64.89
2015-01-10	21	64.34
2015-01-10	22	63.71
2015-01-10	23	59.33
2015-01-10	24	48.8
2015-01-11	1	44.39
2015-01-11	2	39.88
2015-01-11	3	39.41
2015-01-11	4	39.41
2015-01-11	5	38.4
2015-01-11	6	37
2015-01-11	7	37
2015-01-11	8	37.59
2015-01-11	9	38.5
2015-01-11	10	41.5
2015-01-11	11	43
2015-01-11	12	43.39
2015-01-11	13	40.8
2015-01-11	14	42.88
2015-01-11	15	42
2015-01-11	16	39.2
2015-01-11	17	39.54
2015-01-11	18	43.39
2015-01-11	19	62.32
2015-01-11	20	66.2
2015-01-11	21	68.03
2015-01-11	22	67.92
2015-01-11	23	64.82
2015-01-11	24	59.82
2015-01-12	1	48.96
2015-01-12	2	45.34
2015-01-12	3	41.3
2015-01-12	4	41
2015-01-12	5	41.01
2015-01-12	6	43.05
2015-01-12	7	49.21
2015-01-12	8	62.01
2015-01-12	9	63.89
2015-01-12	10	70
2015-01-12	11	70.69
2015-01-12	12	70.52
2015-01-12	13	67.11
2015-01-12	14	64.3
2015-01-12	15	62.01
2015-01-12	16	60.76
2015-01-12	17	62.01
2015-01-12	18	63.5
2015-01-12	19	66.2
2015-01-12	20	69.7
2015-01-12	21	67.69
2015-01-12	22	62.99
2015-01-12	23	54.56
2015-01-12	24	48.96
2015-01-13	1	46.17
2015-01-13	2	42
2015-01-13	3	40.8
2015-01-13	4	39.69
2015-01-13	5	39.2
2015-01-13	6	40
2015-01-13	7	44.93
2015-01-13	8	58.34
2015-01-13	9	62.2
2015-01-13	10	66.2
2015-01-13	11	68.52
2015-01-13	12	66.49
2015-01-13	13	63.31
2015-01-13	14	61.84
2015-01-13	15	57.46
2015-01-13	16	57.59
2015-01-13	17	60.69
2015-01-13	18	62.56
2015-01-13	19	67.11
2015-01-13	20	70.2
2015-01-13	21	69.1
2015-01-13	22	63.89
2015-01-13	23	61.84
2015-01-13	24	54.96
2015-01-14	1	48.04
2015-01-14	2	43.22
2015-01-14	3	43.05
2015-01-14	4	43.21
2015-01-14	5	43.05
2015-01-14	6	46.83
2015-01-14	7	60.69
2015-01-14	8	68.03
2015-01-14	9	71.46
2015-01-14	10	78.9
2015-01-14	11	81.12
2015-01-14	12	77.15
2015-01-14	13	71.15
2015-01-14	14	68.25
2015-01-14	15	63.89
2015-01-14	16	63.01
2015-01-14	17	64.89
2015-01-14	18	67.11
2015-01-14	19	69.96
2015-01-14	20	70.52
2015-01-14	21	68.75
2015-01-14	22	62.99
2015-01-14	23	55
2015-01-14	24	45.67
2015-01-15	1	39
2015-01-15	2	35
2015-01-15	3	34.73
2015-01-15	4	33.04
2015-01-15	5	32.25
2015-01-15	6	33
2015-01-15	7	38
