fecha	hora	prev_demanda
2015-01-10	17	27975
2015-01-10	18	28231
2015-01-10	19	30816
2015-01-10	20	32221
2015-01-10	21	33021
2015-01-10	22	32974
2015-01-10	23	31250
2015-01-10	24	29100
2015-01-11	1	27151
2015-01-11	2	24678
2015-01-11	3	22881
2015-01-11	4	21813
2015-01-11	5	21311
2015-01-11	6	21322
2015-01-11	7	21833
2015-01-11	8	22989
2015-01-11	9	23720
2015-01-11	10	25311
2015-01-11	11	27534
2015-01-11	12	28489
2015-01-11	13	28390
2015-01-11	14	28675
2015-01-11	15	28390
2015-01-11	16	27184
2015-01-11	17	26659
2015-01-11	18	26900
2015-01-11	19	29557
2015-01-11	20	31150
2015-01-11	21	32441
2015-01-11	22	32767
2015-01-11	23	31511
2015-01-11	24	29184
2015-01-12	1	26338
2015-01-12	2	23980
2015-01-12	3	22552
2015-01-12	4	21896
2015-01-12	5	21807
2015-01-12	6	22593
2015-01-12	7	25629
2015-01-12	8	30339
2015-01-12	9	33921
2015-01-12	10	35560
2015-01-12	11	36471
2015-01-12	12	36366
2015-01-12	13	35774
2015-01-12	14	35376
2015-01-12	15	33928
2015-01-12	16	33289
2015-01-12	17	33087
2015-01-12	18	33610
2015-01-12	19	35810
2015-01-12	20	36809
2015-01-12	21	37365
2015-01-12	22	36823
2015-01-12	23	34330
2015-01-12	24	31079
2015-01-13	1	28254
2015-01-13	2	25889
2015-01-13	3	24671
2015-01-13	4	24120
2015-01-13	5	23963
2015-01-13	6	24518
2015-01-13	7	27086
2015-01-13	8	31742
2015-01-13	9	35387
2015-01-13	10	36713
2015-01-13	11	37443
2015-01-13	12	37242
2015-01-13	13	36636
2015-01-13	14	36065
2015-01-13	15	34658
2015-01-13	16	33887
2015-01-13	17	33745
2015-01-13	18	34186
2015-01-13	19	36680
2015-01-13	20	38150
2015-01-13	21	38165
2015-01-13	22	37309
2015-01-13	23	34710
2015-01-13	24	31612
2015-01-14	1	28478
2015-01-14	2	26006
2015-01-14	3	24649
2015-01-14	4	24202
2015-01-14	5	24122
2015-01-14	6	24651
2015-01-14	7	27157
2015-01-14	8	32144
2015-01-14	9	35839
2015-01-14	10	36665
2015-01-14	11	37038
2015-01-14	12	36919
2015-01-14	13	36471
2015-01-14	14	36018
2015-01-14	15	34634
2015-01-14	16	33968
2015-01-14	17	33880
2015-01-14	18	34306
2015-01-14	19	36654
2015-01-14	20	38192
2015-01-14	21	38273
2015-01-14	22	37361
2015-01-14	23	34679
2015-01-14	24	31489
2015-01-15	1	28158
2015-01-15	2	25897
2015-01-15	3	24636
2015-01-15	4	23966
2015-01-15	5	23884
2015-01-15	6	24391
2015-01-15	7	26967
2015-01-15	8	32029
2015-01-15	9	34609
2015-01-15	10	35909
2015-01-15	11	36254
2015-01-15	12	35989
2015-01-15	13	35432
2015-01-15	14	35189
2015-01-15	15	33881
2015-01-15	16	33627
2015-01-15	17	33583
2015-01-15	18	34053
2015-01-15	19	36181
2015-01-15	20	37661
2015-01-15	21	37688
2015-01-15	22	37075
2015-01-15	23	34272
2015-01-15	24	31026
2015-01-16	1	28404
2015-01-16	2	26128
2015-01-16	3	24681
2015-01-16	4	24180
2015-01-16	5	24011
2015-01-16	6	24664
2015-01-16	7	27051
2015-01-16	8	31831
2015-01-16	9	35394
2015-01-16	10	36439
2015-01-16	11	36934
2015-01-16	12	37134
2015-01-16	13	36764
2015-01-16	14	36406
2015-01-16	15	35108
2015-01-16	16	33742
2015-01-16	17	33540
2015-01-16	18	33884
2015-01-16	19	35900
2015-01-16	20	36967
2015-01-16	21	36453
2015-01-16	22	35578
2015-01-16	23	33573
2015-01-16	24	31017
2015-01-17	1	29129
2015-01-17	2	26616
2015-01-17	3	24814
2015-01-17	4	23925
2015-01-17	5	23533
2015-01-17	6	23486
2015-01-17	7	23992
2015-01-17	8	25308
2015-01-17	9	26819
2015-01-17	10	29661
2015-01-17	11	31990
2015-01-17	12	32513
2015-01-17	13	31894
2015-01-17	14	31796
2015-01-17	15	31222
2015-01-17	16	30049
2015-01-17	17	29354
2015-01-17	18	29688
2015-01-17	19	32054
2015-01-17	20	33634
2015-01-17	21	34478
2015-01-17	22	34341
2015-01-17	23	32708
2015-01-17	24	30415
2015-01-18	1	27766
2015-01-18	2	25570
2015-01-18	3	23730
2015-01-18	4	22613
2015-01-18	5	22167
2015-01-18	6	22147
2015-01-18	7	22534
2015-01-18	8	23432
2015-01-18	9	24178
2015-01-18	10	26134
2015-01-18	11	28575
2015-01-18	12	29542
2015-01-18	13	29460
2015-01-18	14	29786
2015-01-18	15	29610
2015-01-18	16	28364
2015-01-18	17	27769
2015-01-18	18	27897
2015-01-18	19	30224
2015-01-18	20	32257
2015-01-18	21	33406
2015-01-18	22	33962
2015-01-18	23	32834
2015-01-18	24	30114
2015-01-19	1	27198
2015-01-19	2	25056
2015-01-19	3	23524
2015-01-19	4	22934
2015-01-19	5	22868
2015-01-19	6	23614
2015-01-19	7	26433
2015-01-19	8	30976
2015-01-19	9	34738
2015-01-19	10	36761
2015-01-19	11	38192
2015-01-19	12	38437
2015-01-19	13	38273
2015-01-19	14	38089
2015-01-19	15	36853
2015-01-19	16	36221
2015-01-19	17	36000
2015-01-19	18	36217
2015-01-19	19	37842
2015-01-19	20	38642
2015-01-19	21	38758
2015-01-19	22	38265
2015-01-19	23	36008
2015-01-19	24	32396
2015-01-20	1	28862
2015-01-20	2	26576
2015-01-20	3	25321
2015-01-20	4	24740
2015-01-20	5	24496
2015-01-20	6	25064
2015-01-20	7	27413
2015-01-20	8	31681
2015-01-20	9	35539
2015-01-20	10	37361
2015-01-20	11	38692
2015-01-20	12	38839
2015-01-20	13	38437
2015-01-20	14	38146
2015-01-20	15	36901
2015-01-20	16	36333
2015-01-20	17	36058
2015-01-20	18	36377
2015-01-20	19	38093
2015-01-20	20	39336
2015-01-20	21	39186
2015-01-20	22	38480
2015-01-20	23	35954
2015-01-20	24	32350
2015-01-21	1	29613
2015-01-21	2	26938
2015-01-21	3	25481
2015-01-21	4	25101
2015-01-21	5	24996
2015-01-21	6	25603
2015-01-21	7	28203
2015-01-21	8	33362
2015-01-21	9	36901
2015-01-21	10	37895
2015-01-21	11	38572
2015-01-21	12	38411
2015-01-21	13	38097
2015-01-21	14	37968
2015-01-21	15	36640
2015-01-21	16	36054
2015-01-21	17	36018
2015-01-21	18	36537
2015-01-21	19	38364
2015-01-21	20	39739
2015-01-21	21	39934
2015-01-21	22	38964
2015-01-21	23	36304
2015-01-21	24	32699
2015-01-22	1	29363
2015-01-22	2	26970
2015-01-22	3	25494
2015-01-22	4	24896
2015-01-22	5	24790
2015-01-22	6	25270
2015-01-22	7	27611
2015-01-22	8	32438
2015-01-22	9	35918
2015-01-22	10	37380
2015-01-22	11	38349
2015-01-22	12	38719
2015-01-22	13	38265
2015-01-22	14	38146
2015-01-22	15	36897
2015-01-22	16	36461
2015-01-22	17	36348
2015-01-22	18	36934
2015-01-22	19	38530
2015-01-22	20	39970
2015-01-22	21	39882
2015-01-22	22	38987
2015-01-22	23	36391
2015-01-22	24	32922
2015-01-23	1	29640
2015-01-23	2	27214
2015-01-23	3	25611
2015-01-23	4	24921
2015-01-23	5	24728
2015-01-23	6	25258
2015-01-23	7	27850
2015-01-23	8	32780
2015-01-23	9	36355
2015-01-23	10	37620
2015-01-23	11	38503
2015-01-23	12	38472
2015-01-23	13	37960
2015-01-23	14	37669
2015-01-23	15	36348
2015-01-23	16	35614
2015-01-23	17	35397
2015-01-23	18	35778
2015-01-23	19	37496
2015-01-23	20	38793
2015-01-23	21	38491
2015-01-23	22	37710
2015-01-23	23	35464
2015-01-23	24	32535
2015-01-24	1	30100
2015-01-24	2	27408
2015-01-24	3	25364
2015-01-24	4	24367
2015-01-24	5	23951
2015-01-24	6	23944
2015-01-24	7	24795
2015-01-24	8	26460
2015-01-24	9	27939
2015-01-24	10	30946
2015-01-24	11	33087
2015-01-24	12	33249
2015-01-24	13	32448
2015-01-24	14	32312
2015-01-24	15	31758
2015-01-24	16	30677
2015-01-24	17	30034
2015-01-24	18	30269
2015-01-24	19	32451
2015-01-24	20	34221
2015-01-24	21	34793
2015-01-24	22	34679
2015-01-24	23	32918
2015-01-24	24	30583
2015-01-25	1	28302
2015-01-25	2	25837
2015-01-25	3	23980
2015-01-25	4	22904
2015-01-25	5	22484
2015-01-25	6	22462
2015-01-25	7	23021
2015-01-25	8	23978
2015-01-25	9	24550
2015-01-25	10	26582
2015-01-25	11	28750
2015-01-25	12	29711
2015-01-25	13	29602
2015-01-25	14	29953
2015-01-25	15	29869
2015-01-25	16	28635
2015-01-25	17	28130
2015-01-25	18	28206
2015-01-25	19	30561
2015-01-25	20	32836
2015-01-25	21	34053
2015-01-25	22	34403
2015-01-25	23	32902
2015-01-25	24	30351
2015-01-26	1	27181
2015-01-26	2	24939
2015-01-26	3	23559
2015-01-26	4	23107
2015-01-26	5	23008
2015-01-26	6	23858
2015-01-26	7	27000
2015-01-26	8	31815
2015-01-26	9	35603
2015-01-26	10	37260
2015-01-26	11	38173
2015-01-26	12	37922
2015-01-26	13	37242
2015-01-26	14	36934
2015-01-26	15	35607
2015-01-26	16	35003
2015-01-26	17	34832
2015-01-26	18	35277
2015-01-26	19	36798
2015-01-26	20	38676
2015-01-26	21	38952
2015-01-26	22	38112
2015-01-26	23	35560
2015-01-26	24	31981
2015-01-27	1	29007
2015-01-27	2	26643
2015-01-27	3	25359
2015-01-27	4	24886
2015-01-27	5	24693
2015-01-27	6	25379
2015-01-27	7	28071
2015-01-27	8	32643
2015-01-27	9	36221
2015-01-27	10	37556
2015-01-27	11	38411
2015-01-27	12	38112
2015-01-27	13	37455
2015-01-27	14	37115
2015-01-27	15	35824
2015-01-27	16	35192
2015-01-27	17	35024
2015-01-27	18	35288
2015-01-27	19	37119
2015-01-27	20	39175
2015-01-27	21	39057
2015-01-27	22	38384
2015-01-27	23	35571
2015-01-27	24	32109
2015-01-28	1	28952
2015-01-28	2	26550
2015-01-28	3	25147
2015-01-28	4	24795
2015-01-28	5	24718
2015-01-28	6	25318
2015-01-28	7	27942
2015-01-28	8	33004
2015-01-28	9	36377
2015-01-28	10	37365
2015-01-28	11	37612
2015-01-28	12	37246
2015-01-28	13	36684
2015-01-28	14	36337
2015-01-28	15	35059
2015-01-28	16	34540
2015-01-28	17	34430
2015-01-28	18	34721
2015-01-28	19	36548
2015-01-28	20	38894
2015-01-28	21	39089
2015-01-28	22	38318
2015-01-28	23	35351
2015-01-28	24	31910
2015-01-29	1	29001
2015-01-29	2	26632
2015-01-29	3	25255
2015-01-29	4	24864
2015-01-29	5	24710
2015-01-29	6	25311
2015-01-29	7	27917
2015-01-29	8	33017
2015-01-29	9	36428
2015-01-29	10	37462
2015-01-29	11	38078
2015-01-29	12	37790
2015-01-29	13	37253
2015-01-29	14	36938
2015-01-29	15	35660
2015-01-29	16	35192
2015-01-29	17	35101
2015-01-29	18	35351
2015-01-29	19	36997
2015-01-29	20	39257
2015-01-29	21	39093
2015-01-29	22	38387
2015-01-29	23	35493
2015-01-29	24	32093
2015-01-30	1	29181
2015-01-30	2	26930
2015-01-30	3	25389
2015-01-30	4	24681
2015-01-30	5	24487
2015-01-30	6	25071
2015-01-30	7	27633
