fecha	hora	prev_eolica
2015-01-12	3	4266
2015-01-12	4	4563
2015-01-12	5	4815
2015-01-12	6	5032
2015-01-12	7	5299
2015-01-12	8	5478
2015-01-12	9	5681
2015-01-12	10	5885
2015-01-12	11	5722
2015-01-12	12	5544
2015-01-12	13	5410
2015-01-12	14	5515
2015-01-12	15	5753
2015-01-12	16	6161
2015-01-12	17	6199
2015-01-12	18	6217
2015-01-12	19	6369
2015-01-12	20	6511
2015-01-12	21	6850
2015-01-12	22	7104
2015-01-12	23	7308
2015-01-12	24	7397
2015-01-13	1	7512
2015-01-13	2	7454
2015-01-13	3	7452
2015-01-13	4	7406
2015-01-13	5	7347
2015-01-13	6	7297
2015-01-13	7	7389
2015-01-13	8	7358
2015-01-13	9	7299
2015-01-13	10	7116
2015-01-13	11	6767
2015-01-13	12	6412
2015-01-13	13	6219
2015-01-13	14	6172
2015-01-13	15	6211
2015-01-13	16	5967
2015-01-13	17	5908
2015-01-13	18	5771
2015-01-13	19	5694
2015-01-13	20	5601
2015-01-13	21	5629
2015-01-13	22	5584
2015-01-13	23	5630
2015-01-13	24	5619
2015-01-14	1	5736
2015-01-14	2	5531
2015-01-14	3	5284
2015-01-14	4	5017
2015-01-14	5	4659
2015-01-14	6	4290
2015-01-14	7	3943
2015-01-14	8	3664
2015-01-14	9	3384
2015-01-14	10	3095
2015-01-14	11	3127
2015-01-14	12	3248
2015-01-14	13	3451
2015-01-14	14	3838
2015-01-14	15	4112
2015-01-14	16	4481
2015-01-14	17	4699
2015-01-14	18	4954
2015-01-14	19	5276
2015-01-14	20	5686
2015-01-14	21	6136
2015-01-14	22	6658
2015-01-14	23	7071
2015-01-14	24	7407
2015-01-15	1	8734
2015-01-15	2	8781
2015-01-15	3	8764
2015-01-15	4	8776
2015-01-15	5	8870
2015-01-15	6	8991
2015-01-15	7	9148
2015-01-15	8	9359
2015-01-15	9	9606
2015-01-15	10	9809
2015-01-15	11	9988
2015-01-15	12	9978
2015-01-15	13	9939
2015-01-15	14	10001
2015-01-15	15	10081
2015-01-15	16	10197
2015-01-15	17	10218
2015-01-15	18	10245
2015-01-15	19	10308
2015-01-15	20	10528
2015-01-15	21	10697
2015-01-15	22	10728
2015-01-15	23	10589
2015-01-15	24	10358
2015-01-16	1	9413
2015-01-16	2	9042
2015-01-16	3	8664
2015-01-16	4	8385
2015-01-16	5	8312
2015-01-16	6	8231
2015-01-16	7	8277
2015-01-16	8	8409
2015-01-16	9	8524
2015-01-16	10	8632
2015-01-16	11	8983
2015-01-16	12	9438
2015-01-16	13	9938
2015-01-16	14	10164
2015-01-16	15	10271
2015-01-16	16	10221
2015-01-16	17	9563
2015-01-16	18	8830
2015-01-16	19	8038
2015-01-16	20	7761
2015-01-16	21	7656
2015-01-16	22	7644
2015-01-16	23	7622
2015-01-16	24	7496
2015-01-17	1	7844
2015-01-17	2	7805
2015-01-17	3	7702
2015-01-17	4	7555
2015-01-17	5	7409
2015-01-17	6	7277
2015-01-17	7	7075
2015-01-17	8	6774
2015-01-17	9	6495
2015-01-17	10	6184
2015-01-17	11	5955
2015-01-17	12	5778
2015-01-17	13	5695
2015-01-17	14	5734
2015-01-17	15	6004
2015-01-17	16	6210
2015-01-17	17	6434
2015-01-17	18	6662
2015-01-17	19	6978
2015-01-17	20	7227
2015-01-17	21	7452
2015-01-17	22	7628
2015-01-17	23	7825
2015-01-17	24	8059
2015-01-18	1	7409
2015-01-18	2	7521
2015-01-18	3	7510
2015-01-18	4	7541
2015-01-18	5	7518
2015-01-18	6	7523
2015-01-18	7	7448
2015-01-18	8	7355
2015-01-18	9	7285
2015-01-18	10	7234
2015-01-18	11	7039
2015-01-18	12	7191
2015-01-18	13	7374
2015-01-18	14	7842
2015-01-18	15	8001
2015-01-18	16	8462
2015-01-18	17	8645
2015-01-18	18	8848
2015-01-18	19	8841
2015-01-18	20	8927
2015-01-18	21	8750
2015-01-18	22	8384
2015-01-18	23	8004
2015-01-18	24	7708
2015-01-19	1	6278
2015-01-19	2	6361
2015-01-19	3	6402
2015-01-19	4	6514
2015-01-19	5	6898
2015-01-19	6	7471
2015-01-19	7	7974
2015-01-19	8	8324
2015-01-19	9	8620
2015-01-19	10	8940
2015-01-19	11	9435
2015-01-19	12	9907
2015-01-19	13	10215
2015-01-19	14	10047
2015-01-19	15	9733
2015-01-19	16	9217
2015-01-19	17	8540
2015-01-19	18	7988
2015-01-19	19	7664
2015-01-19	20	7464
2015-01-19	21	7320
2015-01-19	22	7198
2015-01-19	23	7038
2015-01-19	24	6797
2015-01-20	1	6429
